event_id,event_type,timestamp,customer_id,customer_segment,amount,currency,payment_method,decline_reason_code,country,region,is_cross_border,merchant_id,merchant_type,previous_recovery_attempts,merchant_country,customer_timezone,customer_language,checkout_session_id,subscription_id,invoice_id,invoice_due_date,days_overdue,attempted_payment_method,original_payment_method,customer_lifetime_value,customer_previous_success_rate,customer_previous_recovery_count,risk_signal,checkout_stage,amount_in_inr
EVT-0011,failed_subscription,2026-08-21T18:57:33.742666Z,CUS-0058,retail,3999.0,INR,netbanking,insufficient_funds,IN,Delhi,False,MER-006,professional_services,0,IN,Asia/Kolkata,en-IN,,sub_341736,,,,netbanking,netbanking,19397,0.65,4,low,,3999.0
EVT-0012,abandoned_checkout,2026-08-24T23:39:32.359725Z,CUS-0015,retail,69.46,USD,international_card,authentication_failed,US,California,True,MER-006,professional_services,0,IN,America/New_York,en-US,sess_300845,,,,,international_card,international_card,7957,0.25,0,low,payment_details,5799.91
EVT-0013,overdue_invoice,2026-08-23T07:43:04.783907Z,CUS-0028,retail,5800.0,INR,upi,customer_dispute,IN,Karnataka,False,MER-010,education,3,IN,Asia/Kolkata,en-IN,,,inv_973074,2026-08-11,12,upi,upi,33812,0.52,0,low,,5800.0
EVT-0014,overdue_invoice,2026-08-23T20:15:52.146678Z,CUS-0017,retail,9.57,USD,international_card,invoice_unpaid,US,New York,True,MER-006,professional_services,0,IN,America/New_York,en-US,,,inv_387636,2026-08-18,5,international_card,international_card,2752,0.46,0,low,,799.1
EVT-0015,abandoned_checkout,2026-08-23T12:21:06.109545Z,CUS-0058,retail,1249.0,INR,wallet,payment_method_unavailable,IN,Delhi,False,MER-005,travel,1,IN,Asia/Kolkata,en-IN,sess_207570,,,,,wallet,wallet,19397,0.65,4,low,payment_method_selection,1249.0
EVT-0016,failed_subscription,2026-08-21T09:11:46.399272Z,CUS-0029,retail,2499.0,INR,upi,authentication_failed,IN,Tamil Nadu,False,MER-008,ecommerce,1,IN,Asia/Kolkata,en-IN,,sub_364742,,,,upi,upi,32976,0.61,2,low,,2499.0
EVT-0017,failed_payment,2026-08-22T19:52:08.443203Z,CUS-0046,SMB,24900.0,INR,bank_transfer,card_invalid,IN,Telangana,False,MER-002,SaaS,2,IN,Asia/Kolkata,en-IN,,,,,,bank_transfer,bank_transfer,75203,0.39,0,low,,24900.0
EVT-0018,abandoned_checkout,2026-08-24T23:27:40.940849Z,CUS-0004,SMB,1541.85,AED,international_card,payment_method_unavailable,AE,Abu Dhabi,True,MER-003,marketplace,0,IN,Asia/Dubai,en-AE,sess_360247,,,,,international_card,international_card,81853,0.88,3,low,payment_method_selection,34999.99
EVT-0019,failed_payment,2026-08-21T13:51:27.032619Z,CUS-0039,retail,69.46,USD,bank_transfer,issuer_declined,US,California,True,MER-010,education,1,IN,America/New_York,en-US,,,,,,bank_transfer,bank_transfer,5727,0.93,2,low,,5799.91
EVT-0020,overdue_invoice,2026-08-21T22:50:48.809613Z,CUS-0044,enterprise,16740.09,AED,international_card,invoice_unpaid,AE,Abu Dhabi,True,MER-005,travel,2,IN,Asia/Dubai,en-AE,,,inv_739244,2026-07-02,50,international_card,international_card,588531,0.91,3,low,,380000.04
EVT-0021,failed_payment,2026-08-21T06:06:57.744480Z,CUS-0015,retail,9.57,USD,international_card,card_expired,US,California,True,MER-004,education,0,IN,America/New_York,en-US,,,,,,international_card,international_card,7957,0.25,0,low,,799.1
EVT-0022,abandoned_checkout,2026-08-22T17:24:22.059475Z,CUS-0019,enterprise,220000.0,INR,upi,checkout_friction,IN,Telangana,False,MER-001,ecommerce,0,IN,Asia/Kolkata,en-IN,sess_342720,,,,,upi,upi,1049320,0.3,0,low,authentication,220000.0
EVT-0023,abandoned_checkout,2026-08-24T05:16:01.205061Z,CUS-0044,enterprise,5066.08,AED,international_card,payment_method_unavailable,AE,Abu Dhabi,True,MER-002,SaaS,1,IN,Asia/Dubai,en-AE,sess_545790,,,,,international_card,international_card,588531,0.91,3,low,payment_method_selection,115000.02
EVT-0024,failed_payment,2026-08-21T04:26:39.310793Z,CUS-0017,retail,119.75,USD,international_card,insufficient_funds,US,New York,True,MER-003,marketplace,3,IN,America/New_York,en-US,,,,,,international_card,international_card,2752,0.46,0,low,,9999.12
EVT-0025,overdue_invoice,2026-08-24T20:18:37.862163Z,CUS-0030,SMB,35000.0,INR,wallet,customer_cashflow_issue,IN,Tamil Nadu,False,MER-010,education,1,IN,Asia/Kolkata,en-IN,,,inv_230394,2026-07-28,27,wallet,wallet,132876,0.22,0,low,,35000.0
EVT-0026,failed_payment,2026-08-23T01:18:35.712940Z,CUS-0030,SMB,35000.0,INR,wallet,insufficient_funds,IN,Tamil Nadu,False,MER-007,SaaS,3,IN,Asia/Kolkata,en-IN,,,,,,wallet,wallet,132876,0.22,0,low,,35000.0
EVT-0027,failed_payment,2026-08-21T16:38:29.397811Z,CUS-0005,retail,5800.0,INR,upi,insufficient_funds,IN,Maharashtra,False,MER-007,SaaS,1,IN,Asia/Kolkata,en-IN,,,,,,upi,upi,26898,0.29,0,low,,5800.0
EVT-0028,overdue_invoice,2026-08-23T16:14:00.105754Z,CUS-0059,retail,9999.0,INR,netbanking,invoice_unpaid,IN,Delhi,False,MER-010,education,3,IN,Asia/Kolkata,en-IN,,,inv_704238,2026-08-18,5,netbanking,netbanking,9578,0.88,4,low,,9999.0
EVT-0029,failed_subscription,2026-08-21T08:52:19.112904Z,CUS-0046,SMB,18750.0,INR,bank_transfer,issuer_declined,IN,Telangana,False,MER-009,marketplace,1,IN,Asia/Kolkata,en-IN,,sub_557058,,,,bank_transfer,bank_transfer,75203,0.39,0,low,,18750.0
EVT-0030,failed_subscription,2026-08-22T01:59:49.872500Z,CUS-0048,enterprise,150000.0,INR,upi,insufficient_funds,IN,Tamil Nadu,False,MER-002,SaaS,1,IN,Asia/Kolkata,en-IN,,sub_999398,,,,upi,upi,513066,0.56,4,low,,150000.0
EVT-0031,abandoned_checkout,2026-08-24T08:10:12.895386Z,CUS-0039,retail,47.89,USD,international_card,checkout_friction,US,California,True,MER-008,ecommerce,0,IN,America/New_York,en-US,sess_576919,,,,,international_card,international_card,5727,0.93,2,low,payment_method_selection,3998.82
EVT-0032,failed_payment,2026-08-22T09:59:27.407147Z,CUS-0027,retail,9999.0,INR,bank_transfer,network_error,IN,Telangana,False,MER-006,professional_services,0,IN,Asia/Kolkata,en-IN,,,,,,bank_transfer,bank_transfer,5858,0.57,3,low,,9999.0
EVT-0033,overdue_invoice,2026-08-21T09:33:33.518409Z,CUS-0002,retail,799.0,INR,netbanking,customer_dispute,IN,Karnataka,False,MER-009,marketplace,1,IN,Asia/Kolkata,en-IN,,,inv_752878,2026-06-07,75,netbanking,netbanking,4082,0.92,1,low,,799.0
EVT-0034,failed_payment,2026-08-21T03:10:41.852012Z,CUS-0043,retail,5800.0,INR,netbanking,issuer_declined,IN,Karnataka,False,MER-001,ecommerce,0,IN,Asia/Kolkata,en-IN,,,,,,netbanking,netbanking,8552,0.29,0,low,,5800.0
EVT-0035,abandoned_checkout,2026-08-24T06:33:45.320808Z,CUS-0048,enterprise,220000.0,INR,card,payment_method_unavailable,IN,Tamil Nadu,False,MER-002,SaaS,0,IN,Asia/Kolkata,en-IN,sess_425845,,,,,card,card,513066,0.56,4,low,payment_method_selection,220000.0
EVT-0036,abandoned_checkout,2026-08-22T16:27:04.760868Z,CUS-0041,SMB,8500.0,INR,upi,authentication_failed,IN,Maharashtra,False,MER-002,SaaS,0,IN,Asia/Kolkata,en-IN,sess_779172,,,,,upi,upi,188170,0.94,3,low,payment_details,8500.0
EVT-0037,overdue_invoice,2026-08-24T10:33:24.699820Z,CUS-0024,retail,44.33,EUR,bank_transfer,customer_cashflow_issue,DE,Hamburg,True,MER-009,marketplace,1,IN,Europe/Berlin,de-DE,,,inv_355570,2026-07-28,27,bank_transfer,bank_transfer,15880,0.94,4,low,,3998.57
EVT-0038,overdue_invoice,2026-08-22T21:43:46.461258Z,CUS-0012,retail,93.85,SGD,international_card,customer_dispute,SG,Central Region,True,MER-007,SaaS,0,IN,Asia/Singapore,en-SG,,,inv_173201,2026-08-04,18,international_card,international_card,15826,0.94,4,low,,5799.93
EVT-0039,failed_payment,2026-08-21T20:18:15.254331Z,CUS-0032,SMB,8500.0,INR,netbanking,timeout,IN,Delhi,False,MER-009,marketplace,0,IN,Asia/Kolkata,en-IN,,,,,,netbanking,netbanking,105183,0.59,3,low,,8500.0
EVT-0040,failed_subscription,2026-08-23T01:09:06.800994Z,CUS-0060,retail,3999.0,INR,netbanking,card_expired,IN,Telangana,False,MER-008,ecommerce,2,IN,Asia/Kolkata,en-IN,,sub_448588,,,,netbanking,netbanking,14912,0.51,0,low,,3999.0
EVT-0041,failed_payment,2026-08-24T14:29:27.851528Z,CUS-0056,retail,2499.0,INR,card,card_expired,IN,Maharashtra,False,MER-007,SaaS,1,IN,Asia/Kolkata,en-IN,,,,,,card,card,14656,0.98,3,low,,2499.0
EVT-0042,overdue_invoice,2026-08-23T19:56:58.937927Z,CUS-0025,enterprise,380000.0,INR,wallet,customer_cashflow_issue,IN,Delhi,False,MER-007,SaaS,0,IN,Asia/Kolkata,en-IN,,,inv_504832,2026-07-04,50,wallet,wallet,1866239,0.59,3,low,,380000.0
EVT-0043,failed_payment,2026-08-22T21:03:30.390246Z,CUS-0012,retail,20.21,SGD,international_card,timeout,SG,Central Region,True,MER-008,ecommerce,3,IN,Asia/Singapore,en-SG,,,,,,international_card,international_card,15826,0.94,4,low,,1248.98
EVT-0044,failed_subscription,2026-08-20T14:07:52.352561Z,CUS-0043,retail,3999.0,INR,card,network_error,IN,Karnataka,False,MER-002,SaaS,1,IN,Asia/Kolkata,en-IN,,sub_529893,,,,card,card,8552,0.29,0,low,,3999.0
EVT-0045,failed_subscription,2026-08-22T02:35:22.945924Z,CUS-0018,SMB,18750.0,INR,wallet,insufficient_funds,IN,Tamil Nadu,False,MER-002,SaaS,1,IN,Asia/Kolkata,en-IN,,sub_781403,,,,wallet,wallet,129174,0.91,3,low,,18750.0
EVT-0046,failed_payment,2026-08-23T11:06:10.610612Z,CUS-0032,SMB,18750.0,INR,wallet,timeout,IN,Delhi,False,MER-009,marketplace,0,IN,Asia/Kolkata,en-IN,,,,,,wallet,wallet,105183,0.59,3,low,,18750.0
EVT-0047,abandoned_checkout,2026-08-23T17:36:00.979175Z,CUS-0005,retail,7500.0,INR,netbanking,authentication_failed,IN,Maharashtra,False,MER-010,education,0,IN,Asia/Kolkata,en-IN,sess_338536,,,,,netbanking,netbanking,26898,0.29,0,low,payment_method_selection,7500.0
EVT-0048,failed_subscription,2026-08-21T22:10:47.185866Z,CUS-0011,retail,89.82,USD,international_card,insufficient_funds,US,California,True,MER-002,SaaS,0,IN,America/New_York,en-US,,sub_148225,,,,international_card,international_card,23252,0.95,4,low,,7499.97
EVT-0049,failed_payment,2026-08-21T04:49:12.982638Z,CUS-0004,SMB,1096.92,AED,international_card,card_expired,AE,Abu Dhabi,True,MER-005,travel,0,IN,Asia/Dubai,en-AE,,,,,,international_card,international_card,81853,0.88,3,low,,24900.08
EVT-0050,overdue_invoice,2026-08-24T14:37:50.544218Z,CUS-0020,SMB,35000.0,INR,bank_transfer,customer_dispute,IN,Maharashtra,False,MER-003,marketplace,0,IN,Asia/Kolkata,en-IN,,,inv_816318,2026-08-12,12,bank_transfer,bank_transfer,199637,0.92,1,low,,35000.0
EVT-0051,abandoned_checkout,2026-08-22T16:14:22.388306Z,CUS-0053,enterprise,1083.88,GBP,international_card,checkout_friction,GB,England,True,MER-003,marketplace,0,IN,Europe/London,en-GB,sess_943718,,,,,international_card,international_card,948243,0.96,1,low,review,114999.67
EVT-0052,abandoned_checkout,2026-08-25T03:48:25.600394Z,CUS-0056,retail,2499.0,INR,netbanking,checkout_friction,IN,Maharashtra,False,MER-003,marketplace,0,IN,Asia/Kolkata,en-IN,sess_769975,,,,,netbanking,netbanking,14656,0.98,3,low,review,2499.0
EVT-0053,failed_payment,2026-08-24T12:39:22.463053Z,CUS-0044,enterprise,6607.93,AED,international_card,insufficient_funds,AE,Abu Dhabi,True,MER-005,travel,0,IN,Asia/Dubai,en-AE,,,,,,international_card,international_card,588531,0.91,3,low,,150000.01
EVT-0054,failed_subscription,2026-08-21T21:42:07.304537Z,CUS-0059,retail,7500.0,INR,wallet,insufficient_funds,IN,Delhi,False,MER-006,professional_services,1,IN,Asia/Kolkata,en-IN,,sub_387813,,,,wallet,wallet,9578,0.88,4,low,,7500.0
EVT-0055,overdue_invoice,2026-08-24T18:23:19.380526Z,CUS-0006,retail,9999.0,INR,netbanking,invoice_unpaid,IN,Tamil Nadu,False,MER-010,education,1,IN,Asia/Kolkata,en-IN,,,inv_913423,2026-06-10,75,netbanking,netbanking,32108,0.92,3,low,,9999.0
EVT-0056,failed_subscription,2026-08-21T16:40:14.530962Z,CUS-0036,enterprise,220000.0,INR,card,insufficient_funds,IN,Gujarat,False,MER-004,education,1,IN,Asia/Kolkata,en-IN,,sub_758765,,,,card,card,2208443,0.54,0,low,,220000.0
EVT-0057,failed_payment,2026-08-23T05:46:33.330884Z,CUS-0005,retail,799.0,INR,card,insufficient_funds,IN,Maharashtra,False,MER-005,travel,2,IN,Asia/Kolkata,en-IN,,,,,,card,card,26898,0.29,0,low,,799.0
EVT-0058,failed_payment,2026-08-21T11:02:58.750212Z,CUS-0024,retail,13.85,EUR,bank_transfer,card_expired,DE,Hamburg,True,MER-006,professional_services,1,IN,Europe/Berlin,de-DE,,,,,,bank_transfer,bank_transfer,15880,0.94,4,low,,1249.27
EVT-0059,abandoned_checkout,2026-08-24T22:54:15.788361Z,CUS-0028,retail,9999.0,INR,netbanking,customer_abandoned,IN,Karnataka,False,MER-003,marketplace,0,IN,Asia/Kolkata,en-IN,sess_882824,,,,,netbanking,netbanking,33812,0.52,0,low,authentication,9999.0
EVT-0060,abandoned_checkout,2026-08-24T13:25:25.893589Z,CUS-0045,SMB,12450.0,INR,wallet,customer_abandoned,IN,Gujarat,False,MER-002,SaaS,0,IN,Asia/Kolkata,en-IN,sess_986827,,,,,wallet,wallet,211435,0.3,0,low,authentication,12450.0
EVT-0061,failed_subscription,2026-08-22T15:41:59.510142Z,CUS-0035,retail,7.53,GBP,bank_transfer,card_expired,GB,Scotland,True,MER-001,ecommerce,0,IN,Europe/London,en-GB,,sub_712955,,,,bank_transfer,bank_transfer,28282,0.98,3,low,,798.93
EVT-0062,failed_subscription,2026-08-22T17:34:57.326550Z,CUS-0055,retail,11.77,GBP,bank_transfer,insufficient_funds,GB,England,True,MER-006,professional_services,0,IN,Europe/London,en-GB,,sub_739717,,,,bank_transfer,bank_transfer,4537,0.65,3,low,,1248.8
EVT-0063,overdue_invoice,2026-08-23T13:38:03.154347Z,CUS-0009,retail,27.71,EUR,international_card,invoice_unpaid,DE,Hamburg,True,MER-008,ecommerce,3,IN,Europe/Berlin,de-DE,,,inv_246566,2026-08-18,5,international_card,international_card,19496,0.93,2,low,,2499.44
EVT-0064,failed_payment,2026-08-24T16:28:58.260007Z,CUS-0030,SMB,12450.0,INR,card,issuer_declined,IN,Tamil Nadu,False,MER-008,ecommerce,0,IN,Asia/Kolkata,en-IN,,,,,,card,card,132876,0.22,0,low,,12450.0
EVT-0065,failed_payment,2026-08-23T22:21:37.383058Z,CUS-0034,SMB,508.98,USD,bank_transfer,risk_flagged,US,California,True,MER-009,marketplace,0,IN,America/New_York,en-US,,,,,,bank_transfer,bank_transfer,181711,0.9,4,high,,42499.83
EVT-0066,failed_payment,2026-08-20T16:05:25.429766Z,CUS-0048,enterprise,115000.0,INR,netbanking,insufficient_funds,IN,Tamil Nadu,False,MER-010,education,0,IN,Asia/Kolkata,en-IN,,,,,,netbanking,netbanking,513066,0.56,4,low,,115000.0
EVT-0067,failed_payment,2026-08-25T03:02:55.127857Z,CUS-0043,retail,799.0,INR,netbanking,card_expired,IN,Karnataka,False,MER-004,education,2,IN,Asia/Kolkata,en-IN,,,,,,netbanking,netbanking,8552,0.29,0,low,,799.0
EVT-0068,failed_payment,2026-08-21T09:48:37.460922Z,CUS-0055,retail,23.55,GBP,international_card,authentication_failed,GB,England,True,MER-006,professional_services,0,IN,Europe/London,en-GB,,,,,,international_card,international_card,4537,0.65,3,low,,2498.65
EVT-0069,overdue_invoice,2026-08-25T01:56:21.572163Z,CUS-0044,enterprise,19823.79,AED,international_card,invoice_unpaid,AE,Abu Dhabi,True,MER-002,SaaS,1,IN,Asia/Dubai,en-AE,,,inv_925013,2026-08-07,18,international_card,international_card,588531,0.91,3,low,,450000.03
EVT-0070,failed_payment,2026-08-21T11:46:02.464950Z,CUS-0016,SMB,35000.0,INR,card,network_error,IN,Tamil Nadu,False,MER-010,education,0,IN,Asia/Kolkata,en-IN,,,,,,card,card,196345,0.54,0,low,,35000.0
EVT-0071,failed_payment,2026-08-24T17:58:47.642949Z,CUS-0017,retail,119.75,USD,international_card,insufficient_funds,US,New York,True,MER-006,professional_services,2,IN,America/New_York,en-US,,,,,,international_card,international_card,2752,0.46,0,low,,9999.12
EVT-0072,abandoned_checkout,2026-08-21T00:47:58.891351Z,CUS-0018,SMB,12450.0,INR,upi,checkout_friction,IN,Tamil Nadu,False,MER-003,marketplace,1,IN,Asia/Kolkata,en-IN,sess_238205,,,,,upi,upi,129174,0.91,3,low,payment_method_selection,12450.0
EVT-0073,overdue_invoice,2026-08-21T18:20:00.437781Z,CUS-0026,retail,1249.0,INR,card,customer_cashflow_issue,IN,Karnataka,False,MER-010,education,0,IN,Asia/Kolkata,en-IN,,,inv_877747,2026-07-25,27,card,card,3378,0.27,0,low,,1249.0
EVT-0074,failed_subscription,2026-08-22T22:17:35.669826Z,CUS-0013,SMB,18750.0,INR,upi,card_expired,IN,Maharashtra,False,MER-002,SaaS,1,IN,Asia/Kolkata,en-IN,,sub_573962,,,,upi,upi,208519,0.88,3,low,,18750.0
EVT-0075,failed_payment,2026-08-23T14:43:27.360160Z,CUS-0054,retail,568.12,MYR,international_card,issuer_declined,MY,Kuala Lumpur,True,MER-001,ecommerce,1,IN,Asia/Kuala_Lumpur,en-MY,,,,,,international_card,international_card,23770,0.6,2,low,,9998.91
EVT-0076,failed_payment,2026-08-22T09:42:08.734712Z,CUS-0003,retail,9999.0,INR,upi,issuer_declined,IN,Delhi,False,MER-001,ecommerce,4,IN,Asia/Kolkata,en-IN,,,,,,upi,upi,29493,0.78,2,low,,9999.0
EVT-0077,abandoned_checkout,2026-08-23T09:00:57.417789Z,CUS-0044,enterprise,5066.08,AED,international_card,payment_method_unavailable,AE,Abu Dhabi,True,MER-002,SaaS,2,IN,Asia/Dubai,en-AE,sess_232321,,,,,international_card,international_card,588531,0.91,3,low,authentication,115000.02
EVT-0078,failed_subscription,2026-08-25T04:35:38.439100Z,CUS-0060,retail,3999.0,INR,bank_transfer,card_expired,IN,Telangana,False,MER-009,marketplace,1,IN,Asia/Kolkata,en-IN,,sub_409222,,,,bank_transfer,bank_transfer,14912,0.51,0,low,,3999.0
EVT-0079,failed_payment,2026-08-24T12:35:42.074761Z,CUS-0042,retail,799.0,INR,bank_transfer,risk_flagged,IN,Gujarat,False,MER-002,SaaS,2,IN,Asia/Kolkata,en-IN,,,,,,bank_transfer,bank_transfer,27938,0.68,2,high,,799.0
EVT-0080,failed_subscription,2026-08-22T11:04:41.414984Z,CUS-0015,retail,14.96,USD,bank_transfer,card_expired,US,California,True,MER-007,SaaS,1,IN,America/New_York,en-US,,sub_518098,,,,bank_transfer,bank_transfer,7957,0.25,0,low,,1249.16
EVT-0081,abandoned_checkout,2026-08-21T17:09:05.648556Z,CUS-0010,retail,7500.0,INR,card,customer_abandoned,IN,Tamil Nadu,False,MER-006,professional_services,0,IN,Asia/Kolkata,en-IN,sess_820184,,,,,card,card,18043,0.84,6,low,review,7500.0
EVT-0082,abandoned_checkout,2026-08-24T00:23:22.688609Z,CUS-0008,SMB,8500.0,INR,netbanking,payment_method_unavailable,IN,Gujarat,False,MER-002,SaaS,0,IN,Asia/Kolkata,en-IN,sess_951201,,,,,netbanking,netbanking,139647,0.6,4,low,payment_details,8500.0
EVT-0083,overdue_invoice,2026-08-22T01:35:02.640133Z,CUS-0004,SMB,1541.85,AED,international_card,customer_cashflow_issue,AE,Abu Dhabi,True,MER-010,education,3,IN,Asia/Dubai,en-AE,,,inv_530764,2026-08-04,18,international_card,international_card,81853,0.88,3,low,,34999.99
EVT-0084,failed_subscription,2026-08-21T23:38:39.248942Z,CUS-0039,retail,69.46,USD,international_card,card_expired,US,California,True,MER-001,ecommerce,3,IN,America/New_York,en-US,,sub_705991,,,,international_card,international_card,5727,0.93,2,low,,5799.91
EVT-0085,failed_subscription,2026-08-22T03:53:34.290773Z,CUS-0018,SMB,8500.0,INR,bank_transfer,insufficient_funds,IN,Tamil Nadu,False,MER-008,ecommerce,0,IN,Asia/Kolkata,en-IN,,sub_485415,,,,bank_transfer,bank_transfer,129174,0.91,3,low,,8500.0
EVT-0086,failed_subscription,2026-08-24T11:44:00.607912Z,CUS-0023,retail,37.69,GBP,international_card,network_error,GB,Scotland,True,MER-010,education,0,IN,Europe/London,en-GB,,sub_738577,,,,international_card,international_card,33148,0.5,0,low,,3998.91
EVT-0087,abandoned_checkout,2026-08-24T02:23:59.257062Z,CUS-0023,retail,70.69,GBP,bank_transfer,price_shock,GB,Scotland,True,MER-001,ecommerce,0,IN,Europe/London,en-GB,sess_468074,,,,,bank_transfer,bank_transfer,33148,0.5,0,low,payment_method_selection,7500.21
EVT-0088,failed_payment,2026-08-21T04:24:12.459558Z,CUS-0018,SMB,8500.0,INR,upi,insufficient_funds,IN,Tamil Nadu,False,MER-010,education,1,IN,Asia/Kolkata,en-IN,,,,,,upi,upi,129174,0.91,3,low,,8500.0
EVT-0089,abandoned_checkout,2026-08-22T02:51:11.040277Z,CUS-0051,retail,3999.0,INR,netbanking,payment_method_unavailable,IN,Telangana,False,MER-004,education,0,IN,Asia/Kolkata,en-IN,sess_426775,,,,,netbanking,netbanking,11705,0.66,2,low,authentication,3999.0
EVT-0090,failed_subscription,2026-08-20T18:00:47.552927Z,CUS-0008,SMB,35000.0,INR,upi,card_expired,IN,Gujarat,False,MER-001,ecommerce,0,IN,Asia/Kolkata,en-IN,,sub_385320,,,,upi,upi,139647,0.6,4,low,,35000.0
EVT-0091,failed_payment,2026-08-21T19:12:47.592160Z,CUS-0042,retail,3999.0,INR,bank_transfer,insufficient_funds,IN,Gujarat,False,MER-008,ecommerce,1,IN,Asia/Kolkata,en-IN,,,,,,bank_transfer,bank_transfer,27938,0.68,2,low,,3999.0
EVT-0092,overdue_invoice,2026-08-23T07:18:19.956399Z,CUS-0042,retail,7500.0,INR,bank_transfer,invoice_unpaid,IN,Gujarat,False,MER-002,SaaS,0,IN,Asia/Kolkata,en-IN,,,inv_799539,2026-08-05,18,bank_transfer,bank_transfer,27938,0.68,2,low,,7500.0
EVT-0093,overdue_invoice,2026-08-20T13:16:01.571842Z,CUS-0025,enterprise,125000.0,INR,netbanking,invoice_unpaid,IN,Delhi,False,MER-007,SaaS,4,IN,Asia/Kolkata,en-IN,,,inv_321494,2026-06-06,75,netbanking,netbanking,1866239,0.59,3,low,,125000.0
EVT-0094,overdue_invoice,2026-08-22T20:30:18.234243Z,CUS-0027,retail,799.0,INR,wallet,customer_dispute,IN,Telangana,False,MER-005,travel,0,IN,Asia/Kolkata,en-IN,,,inv_284229,2026-08-10,12,wallet,wallet,5858,0.57,3,low,,799.0
EVT-0095,failed_subscription,2026-08-24T07:20:21.771761Z,CUS-0052,SMB,471.18,EUR,international_card,network_error,DE,Bavaria,True,MER-004,education,1,IN,Europe/Berlin,de-DE,,sub_516359,,,,international_card,international_card,95070,0.78,5,low,,42500.44
EVT-0096,failed_subscription,2026-08-24T13:38:45.634328Z,CUS-0005,retail,799.0,INR,bank_transfer,card_expired,IN,Maharashtra,False,MER-007,SaaS,0,IN,Asia/Kolkata,en-IN,,sub_550137,,,,bank_transfer,bank_transfer,26898,0.29,0,low,,799.0
EVT-0097,failed_payment,2026-08-20T14:45:09.431489Z,CUS-0055,retail,37.69,GBP,bank_transfer,insufficient_funds,GB,England,True,MER-007,SaaS,0,IN,Europe/London,en-GB,,,,,,bank_transfer,bank_transfer,4537,0.65,3,low,,3998.91
